name,sqftband,psfband_pred
10 evelyn,"(0.0, 1.0]","(2.0, 3.0]"
10 evelyn,"(1.0, 1.5]","(2.0, 3.0]"
10 shelford,"(0.0, 1.0]","(1.0, 2.0]"
111 emerald hill,"(0.0, 1.0]","(2.0, 3.0]"
111 emerald hill,"(1.5, 2.0]","(2.0, 3.0]"
111 emerald hill,"(2.0, 2.5]","(3.0, 4.0]"
111 emerald hill,"(3.0, 4.0]","(2.0, 3.0]"
120 grange,"(0.0, 1.0]","(3.0, 4.0]"
1208 upper boon keng road,"(0.0, 1.0]","(1.0, 2.0]"
15 holland hill,"(1.0, 1.5]","(3.0, 4.0]"
15 holland hill,"(1.5, 2.0]","(3.0, 4.0]"
15 holland hill,"(2.0, 2.5]","(3.0, 4.0]"
15 holland hill,"(3.0, 4.0]","(3.0, 4.0]"
15 holland hill,"(5.0, 15.0]","(3.0, 4.0]"
18 shelford,"(1.0, 1.5]","(2.0, 3.0]"
18 woodsville,"(0.0, 1.0]","(2.0, 3.0]"
18 woodsville,"(1.0, 1.5]","(1.0, 2.0]"
183 longhaus,"(0.0, 1.0]","(1.0, 2.0]"
19 nassim,"(0.0, 1.0]","(3.0, 4.0]"
19 nassim,"(1.0, 1.5]","(4.0, 5.0]"
19 nassim,"(1.5, 2.0]","(3.0, 4.0]"
1919,"(0.0, 1.0]","(2.0, 3.0]"
1919,"(1.0, 1.5]","(1.0, 2.0]"
21 richards,"(0.0, 1.0]","(1.0, 2.0]"
21 richards,"(1.0, 1.5]","(1.0, 2.0]"
24 one residences,"(0.0, 1.0]","(2.0, 3.0]"
26 newton,"(0.0, 1.0]","(2.0, 3.0]"
26 newton,"(1.0, 1.5]","(2.0, 3.0]"
26 newton,"(1.5, 2.0]","(2.0, 3.0]"
28 imperial residences,"(0.0, 1.0]","(1.0, 2.0]"
28 imperial residences,"(1.0, 1.5]","(1.0, 2.0]"
28 rc suites,"(0.0, 1.0]","(1.0, 2.0]"
283 studio,"(1.0, 1.5]","(2.0, 3.0]"
33 residences,"(0.0, 1.0]","(1.0, 2.0]"
35 gilstead,"(0.0, 1.0]","(2.0, 3.0]"
35 gilstead,"(1.0, 1.5]","(2.0, 3.0]"
35 gilstead,"(1.5, 2.0]","(2.0, 3.0]"
368 thomson,"(0.0, 1.0]","(1.0, 2.0]"
38 draycott drive,"(1.0, 1.5]","(2.0, 3.0]"
38 i suites,"(0.0, 1.0]","(1.0, 2.0]"
38 i suites,"(1.0, 1.5]","(1.0, 2.0]"
38 jervois,"(0.0, 1.0]","(2.0, 3.0]"
39 flower road,"(2.0, 2.5]","(1.0, 2.0]"
57 @ kovan,"(1.0, 1.5]","(1.0, 2.0]"
57 @ kovan,"(2.5, 3.0]","(1.0, 2.0]"
70@truro,"(0.0, 1.0]","(2.0, 3.0]"
76 shenton,"(0.0, 1.0]","(2.0, 3.0]"
77 @ east coast,"(0.0, 1.0]","(1.0, 2.0]"
77 @ east coast,"(1.0, 1.5]","(1.0, 2.0]"
8@woodleigh,"(0.0, 1.0]","(1.0, 2.0]"
8@woodleigh,"(1.0, 1.5]","(1.0, 2.0]"
8m residences,"(0.0, 1.0]","(2.0, 3.0]"
8m residences,"(1.0, 1.5]","(1.0, 2.0]"
8m residences,"(1.5, 2.0]","(2.0, 3.0]"
91 marshall,"(0.0, 1.0]","(1.0, 2.0]"
a treasure trove,"(0.0, 1.0]","(1.0, 2.0]"
a treasure trove,"(1.0, 1.5]","(1.0, 2.0]"
a treasure trove,"(1.5, 2.0]","(1.0, 2.0]"
aalto,"(1.5, 2.0]","(2.0, 3.0]"
aalto,"(5.0, 15.0]","(3.0, 4.0]"
adam park condominium,"(1.5, 2.0]","(1.0, 2.0]"
adana @ thomson,"(0.0, 1.0]","(2.0, 3.0]"
affinity at serangoon,"(0.0, 1.0]","(1.0, 2.0]"
affinity at serangoon,"(1.0, 1.5]","(1.0, 2.0]"
affinity at serangoon,"(1.5, 2.0]","(1.0, 2.0]"
affinity at serangoon,"(2.0, 2.5]","(1.0, 2.0]"
alba,"(1.5, 2.0]","(3.0, 4.0]"
alba,"(2.0, 2.5]","(3.0, 4.0]"
alba,"(5.0, 15.0]","(4.0, 5.0]"
alex residences,"(0.0, 1.0]","(2.0, 3.0]"
alex residences,"(1.0, 1.5]","(2.0, 3.0]"
alexandra road,"(0.0, 1.0]","(2.0, 3.0]"
alexis,"(0.0, 1.0]","(1.0, 2.0]"
alexis,"(1.0, 1.5]","(1.0, 2.0]"
allsworth park,"(1.0, 1.5]","(1.0, 2.0]"
allsworth park,"(1.5, 2.0]","(2.0, 3.0]"
almond avenue,"(0.0, 1.0]","(1.0, 2.0]"
altez,"(0.0, 1.0]","(2.0, 3.0]"
altez,"(1.0, 1.5]","(2.0, 3.0]"
altez,"(1.5, 2.0]","(3.0, 4.0]"
altez,"(2.0, 2.5]","(3.0, 4.0]"
altez,"(4.0, 5.0]","(3.0, 4.0]"
amaninda,"(0.0, 1.0]","(1.0, 2.0]"
amaninda,"(1.0, 1.5]","(1.0, 2.0]"
amaranda gardens,"(2.5, 3.0]","(1.0, 2.0]"
amaryllis ville,"(0.0, 1.0]","(2.0, 3.0]"
amaryllis ville,"(1.0, 1.5]","(1.0, 2.0]"
amaryllis ville,"(1.5, 2.0]","(1.0, 2.0]"
amaryllis ville,"(2.5, 3.0]","(1.0, 2.0]"
amber 45,"(0.0, 1.0]","(2.0, 3.0]"
amber 45,"(1.0, 1.5]","(2.0, 3.0]"
amber 45,"(1.5, 2.0]","(2.0, 3.0]"
amber gardens,"(1.5, 2.0]","(2.0, 3.0]"
amber park,"(0.0, 1.0]","(2.0, 3.0]"
amber park,"(1.0, 1.5]","(2.0, 3.0]"
amber park,"(1.5, 2.0]","(2.0, 3.0]"
amber park,"(2.0, 2.5]","(2.0, 3.0]"
amber park,"(4.0, 5.0]","(3.0, 4.0]"
amber point,"(1.5, 2.0]","(1.0, 2.0]"
amber residences,"(4.0, 5.0]","(1.0, 2.0]"
amber residences,"(5.0, 15.0]","(1.0, 2.0]"
amber sea,"(0.0, 1.0]","(2.0, 3.0]"
amber sea,"(1.0, 1.5]","(2.0, 3.0]"
amber sea,"(1.5, 2.0]","(2.0, 3.0]"
amber skye,"(1.0, 1.5]","(2.0, 3.0]"
amber skye,"(2.5, 3.0]","(1.0, 2.0]"
amber skye,"(3.0, 4.0]","(1.0, 2.0]"
amber skye,"(4.0, 5.0]","(1.0, 2.0]"
amber skye,"(5.0, 15.0]","(1.0, 2.0]"
anchorvale link,"(1.0, 1.5]","(0.0, 1.0]"
ang mo kio avenue 2,"(1.5, 2.0]","(1.0, 2.0]"
angullia park residences @ orchard,"(0.0, 1.0]","(2.0, 3.0]"
angullia park residences @ orchard,"(1.5, 2.0]","(2.0, 3.0]"
apleton view,"(1.5, 2.0]","(1.0, 2.0]"
apollo gardens,"(2.0, 2.5]","(1.0, 2.0]"
aquarine gardens,"(1.0, 1.5]","(1.0, 2.0]"
aquarius by the park,"(0.0, 1.0]","(1.0, 2.0]"
aquarius by the park,"(1.0, 1.5]","(1.0, 2.0]"
aquene,"(0.0, 1.0]","(1.0, 2.0]"
arc at tampines,"(1.0, 1.5]","(1.0, 2.0]"
arc at tampines,"(1.5, 2.0]","(1.0, 2.0]"
archipelago,"(0.0, 1.0]","(1.0, 2.0]"
archipelago,"(1.0, 1.5]","(1.0, 2.0]"
archipelago,"(2.0, 2.5]","(1.0, 2.0]"
archipelago,"(2.5, 3.0]","(1.0, 2.0]"
archipelago,"(3.0, 4.0]","(1.0, 2.0]"
archipelago,"(4.0, 5.0]","(0.0, 1.0]"
ardmore 3,"(1.5, 2.0]","(4.0, 5.0]"
ardmore ii,"(2.0, 2.5]","(3.0, 4.0]"
ardmore park,"(2.5, 3.0]","(4.0, 5.0]"
arena residences,"(0.0, 1.0]","(2.0, 3.0]"
arthur 118,"(0.0, 1.0]","(2.0, 3.0]"
arthur road,"(0.0, 1.0]","(2.0, 3.0]"
arthur road,"(1.0, 1.5]","(2.0, 3.0]"
artra,"(0.0, 1.0]","(2.0, 3.0]"
artra,"(1.0, 1.5]","(1.0, 2.0]"
ascent @ 456,"(0.0, 1.0]","(1.0, 2.0]"
ascentia sky,"(0.0, 1.0]","(1.0, 2.0]"
ascentia sky,"(1.0, 1.5]","(1.0, 2.0]"
ascentia sky,"(5.0, 15.0]","(1.0, 2.0]"
aspen heights,"(1.0, 1.5]","(2.0, 3.0]"
aspen heights,"(1.5, 2.0]","(2.0, 3.0]"
aspen heights,"(3.0, 4.0]","(2.0, 3.0]"
